Iteration,Integer_Value,Compressed_Size_Bytes
Initial,18446744073709551615,12
Flip_1,18446744073709551607,14
Flip_2,18444492273895866359,17
Flip_3,18156261897744154615,20
Flip_4,18156261880564285431,21
Flip_5,18444492256715997175,19
Flip_6,17868031504412573687,22
Flip_7,17868031504412571639,24
Flip_8,17868031504412571383,25
Flip_9,17868031504412505847,26
Flip_10,17868031504411457271,27
Flip_11,17868031504411440887,28
Flip_12,17868031504411436791,28
Flip_13,17870283304225122039,25
Flip_14,17869720354271700727,27
Flip_15,17869720285552223991,30
Flip_16,17869720285552223999,28
Flip_17,17581489909400512255,29
Flip_18,17581489907253028607,29
Flip_19,17581489907253044991,27
Flip_20,15275646898039351039,27
Flip_21,15275646898039334655,29
Flip_22,15275646893744367359,27
Flip_23,15273395093930682111,29
Flip_24,15273394956491728639,32
Flip_25,15273395093930682111,29
Flip_26,15273395096078165759,30
Flip_27,15273395096078165751,31
Flip_28,15273393996566537975,32
Flip_29,15264386797311796983,30
Flip_30,15264386797311272695,32
Flip_31,15264386247555458807,30
Flip_32,15263260347648616183,33
Flip_33,15262978872671905527,33
Flip_34,15262978872671907575,33
Flip_35,15262838135183552247,33
Flip_36,15262838135166775031,33
Flip_37,15262838135166742263,35
Flip_38,15262767766422564599,36
Flip_39,15262767766422562551,36
Flip_40,15262767628983609079,35
Flip_41,15262767628950054647,37
Flip_42,15262767628941666039,37
Flip_43,15118652440865810167,35
Flip_44,15118652440865810103,35
Flip_45,15118652438718326455,36
Flip_46,15118652438718326451,36
Flip_47,15118652438751880883,36
Flip_48,15100638040242398899,35
Flip_49,15100638040242398903,36
Flip_50,15100638040238204599,36
Flip_51,15100602855866115767,36
Flip_52,15118617254375597751,38
Flip_53,15118617258670565047,34
Flip_54,15118617224310826679,36
Flip_55,15118617224310830775,36
Flip_56,15118617224311355063,36
Flip_57,15118617226458838711,35
Flip_58,15118617226458576567,35
Flip_59,15046559632420648631,35
Flip_60,15046557433397393079,34
Flip_61,15048809233211078327,35
Flip_62,15048809233211077815,36
Flip_63,15048809370650031287,36
Flip_64,15048809370650031295,37
Flip_65,15048809370647934143,35
Flip_66,15048809368500450495,36
Flip_67,15048809368466896063,34
Flip_68,15048809368399787199,37
Flip_69,15012780571380823231,37
Flip_70,15012780571380825279,36
Flip_71,15012850940125002943,34
Flip_72,15008347340497632447,36
Flip_73,15008347340501826751,36
Flip_74,15008347340501892287,36
Flip_75,15008347340501892255,35
Flip_76,15008347374861630623,37
Flip_77,15008347374861630622,36
Flip_78,15017354574116371614,32
Flip_79,15017354436677418142,33
Flip_80,15017354436677450910,35
Flip_81,15017354574116404382,34
Flip_82,15089412168154332318,35
Flip_83,15089412163859365022,34
Flip_84,15089412163859360926,35
Flip_85,15080404964604619934,36
Flip_86,15081530864511462558,34
Flip_87,15081530864528239774,35
Flip_88,15009473270490311838,36
Flip_89,15009614007978667166,35
Flip_90,15009616207001922718,34
Flip_91,17315459216215616670,34
Flip_92,17315459216215614622,33
Flip_93,17315450420122592414,32
Flip_94,17315446022076081310,31
Flip_95,17315446571831895198,34
Flip_96,17315446571831895199,33
Flip_97,17315446576126862495,33
Flip_98,17315446576193971359,33
Flip_99,17315446576195019935,35
Flip_100,17314320676288177311,35
Random_Control_1,2546048437301960409,35
Random_Control_2,10885302377391675137,36
Random_Control_3,944403437976457574,34
Random_Control_4,1830473835827343402,30
Random_Control_5,4424637498076317617,36
Random_Control_6,3902815475378030108,35
Random_Control_7,703852028609095050,34
Random_Control_8,8311014491962831915,35
Random_Control_9,11626159999123781744,33
Random_Control_10,15413113128691485744,32
Random_Control_11,13878078564497443794,34
Random_Control_12,1112624739172273803,35
Random_Control_13,15364722024395334256,32
Random_Control_14,15493535115368154047,37
Random_Control_15,5605426257859839700,34
Random_Control_16,15127920864905689423,33
Random_Control_17,14314013944469981771,36
Random_Control_18,4863885032219847720,32
Random_Control_19,15064586468069850136,35
Random_Control_20,2997967248498967641,33
Random_Control_21,14310239766154294136,37
Random_Control_22,12310036621697888061,29
Random_Control_23,13583578101716917269,33
Random_Control_24,15887063743226710978,36
Random_Control_25,382989907027749354,32
Random_Control_26,3961269457805663204,32
Random_Control_27,8074380822579511738,33
Random_Control_28,16682019575942964369,36
Random_Control_29,4086654552758285586,35
Random_Control_30,16381020015401606025,34
Random_Control_31,403163697420504247,36
Random_Control_32,16856339728383344862,34
Random_Control_33,15747057172473156984,34
Random_Control_34,11065849687217693418,32
Random_Control_35,11544802025681687870,33
Random_Control_36,3637123463002836544,34
Random_Control_37,2026315917264000489,33
Random_Control_38,7757647207126383515,35
Random_Control_39,7248448250204124351,33
Random_Control_40,14830352560000204569,32
