n_bits,Type,Integer_Value,Compressed_Size_Bytes
32,Gradual,4294967295,11
32,Gradual,4294966271,14
32,Gradual,4294704127,16
32,Gradual,4294704119,16
32,Gradual,3220962295,17
32,Gradual,3216767991,19
32,Gradual,3183213559,20
32,Gradual,3166436343,22
32,Gradual,2898000887,22
32,Gradual,2361129975,23
32,Gradual,2361127927,24
32,Gradual,2361128951,22
32,Gradual,2361120759,24
32,Gradual,2361104375,23
32,Gradual,2360055799,22
32,Gradual,2351667191,24
32,Gradual,2351666679,24
32,Gradual,2368443895,24
32,Gradual,2234226167,22
32,Gradual,2234488311,22
32,Gradual,2234357239,23
32,Gradual,2217580023,23
32,Gradual,2217514487,23
32,Gradual,2217514999,22
32,Gradual,2351732727,24
32,Gradual,2351732735,22
32,Gradual,2360121343,22
32,Gradual,2360121342,23
32,Gradual,2376898558,23
32,Gradual,2376897534,22
32,Gradual,2376897502,24
32,Gradual,2376897438,24
32,Gradual,2376905630,22
32,Gradual,2309796766,25
32,Gradual,2309796767,25
32,Gradual,2309796511,25
32,Gradual,2309862047,24
32,Gradual,2578297503,24
32,Gradual,2578297499,23
32,Gradual,2576200347,22
32,Gradual,2609754779,24
32,Gradual,2609755035,23
32,Gradual,2610803611,23
32,Gradual,2610279323,23
32,Gradual,2610279321,23
32,Gradual,2610246553,24
32,Gradual,2610262937,23
32,Gradual,2610787225,22
32,Gradual,2610819993,24
32,Gradual,2610819985,26
32,Gradual,2610295697,25
32,Gradual,2610262929,23
32,Gradual,2609214353,25
32,Gradual,2608952209,23
32,Gradual,2613146513,23
32,Gradual,2579592081,23
32,Gradual,3116462993,23
32,Gradual,2579592081,23
32,Gradual,2579583889,24
32,Gradual,2579583873,24
32,Gradual,2579585921,25
32,Gradual,3116456833,24
32,Gradual,3116456577,24
32,Gradual,3118553729,25
32,Gradual,3118553985,26
32,Gradual,3118553984,25
32,Gradual,3118553986,26
32,Gradual,3185662850,22
32,Gradual,3185660802,22
32,Gradual,3185791874,24
32,Gradual,3185791618,23
32,Gradual,3185791106,24
32,Gradual,3177402498,26
32,Gradual,4251144322,25
32,Gradual,4251152514,25
32,Gradual,4234375298,22
32,Gradual,4234309762,23
32,Gradual,4234309763,24
32,Gradual,4234571907,23
32,Gradual,3966136451,23
32,Gradual,3966136707,21
32,Gradual,2892394883,22
32,Gradual,2355523971,20
32,Gradual,2353426819,22
32,Gradual,2353426691,22
32,Gradual,2353492227,23
32,Gradual,2890363139,25
32,Gradual,2890363137,26
32,Gradual,2890346753,24
32,Gradual,2890342657,25
32,Gradual,3964084481,23
32,Gradual,3964084609,24
32,Gradual,3959890305,22
32,Gradual,3964084609,24
32,Gradual,3964076417,23
32,Gradual,3829858689,22
32,Gradual,3762749825,20
32,Gradual,3771138433,21
32,Gradual,3234267521,21
32,Gradual,3234267553,22
32,Gradual,2160525729,20
32,Random,2743319754,25
32,Random,2250020533,21
32,Random,872630781,23
32,Random,1839763888,22
32,Random,3822313628,26
32,Random,3529556732,24
32,Random,1697538259,24
32,Random,668908234,24
32,Random,1878985618,22
32,Random,1340728844,23
32,Random,427058866,25
32,Random,463182868,24
32,Random,1924633782,22
32,Random,57879609,24
32,Random,1981574088,25
32,Random,3954388760,24
32,Random,3136043746,24
32,Random,786326585,27
32,Random,387099685,25
32,Random,735386460,24
32,Random,2777165019,24
32,Random,3707804032,22
32,Random,510210809,24
32,Random,2169686134,22
32,Random,673201089,22
32,Random,3511971670,26
32,Random,4105227659,25
32,Random,1892698401,22
32,Random,3226494260,22
32,Random,3274230769,23
32,Random,2793089361,25
32,Random,415678222,23
32,Random,3443939034,23
32,Random,2603489954,24
32,Random,1333287330,25
32,Random,1088831407,24
32,Random,3746181655,26
32,Random,1148128054,25
32,Random,1829069546,25
32,Random,2856567687,20
32,Random,2041410982,21
32,Random,4199614860,23
32,Random,330442926,23
32,Random,3013208264,25
32,Random,2604585553,25
32,Random,2127174248,24
32,Random,2470011574,23
32,Random,3336280150,24
32,Random,2426537208,25
32,Random,3507955888,24
32,Random,3735154860,25
32,Random,2458541998,22
32,Random,3965953917,22
32,Random,4030064027,24
32,Random,2537109506,23
32,Random,613022244,20
32,Random,1689233531,23
32,Random,229758486,22
32,Random,2424534686,26
32,Random,2750332994,24
32,Random,3994207909,24
32,Random,429085718,22
32,Random,18100629,22
32,Random,1382668571,22
32,Random,3052079438,25
32,Random,3830309550,25
32,Random,898759388,25
32,Random,3348696433,27
32,Random,4235049296,23
32,Random,4294757041,20
32,Random,2598584142,25
32,Random,1772116153,24
32,Random,1956836275,25
32,Random,606584362,23
32,Random,1240554445,24
32,Random,452878440,24
32,Random,553698725,24
32,Random,415259289,24
32,Random,3586959841,24
32,Random,3427685615,24
32,Random,2918665921,24
32,Random,905254982,25
32,Random,2356912838,23
32,Random,3561285620,22
32,Random,2206629300,23
32,Random,3173246621,24
32,Random,2505800374,18
32,Random,2598029401,23
32,Random,2490936218,26
32,Random,2827543883,22
32,Random,339167221,24
32,Random,1627069689,24
32,Random,4000363121,23
32,Random,804420841,23
32,Random,3209292831,24
32,Random,473384953,25
32,Random,908904018,23
32,Random,4220737316,23
32,Random,4179172859,21
32,Random,2047839269,24
33,Gradual,8589934591,11
33,Gradual,8589934079,14
33,Gradual,8587836927,15
33,Gradual,8587312639,17
33,Gradual,8587313151,15
33,Gradual,8050442239,19
33,Gradual,8050441727,20
33,Gradual,8046247423,22
33,Gradual,7777811967,22
33,Gradual,7777795583,22
33,Gradual,7769406975,23
33,Gradual,7769374207,25
33,Gradual,7769374143,25
33,Gradual,7777762751,25
33,Gradual,7760985535,26
33,Gradual,7760723391,25
33,Gradual,7764917695,24
33,Gradual,8033353151,23
33,Gradual,8033353150,23
33,Gradual,8050130366,26
33,Gradual,8587001278,23
33,Gradual,8587001270,21
33,Gradual,8586935734,20
33,Gradual,8587197878,21
33,Gradual,8587230646,20
33,Gradual,8587754934,17
33,Gradual,8587746742,19
33,Gradual,8587746726,20
33,Gradual,8587746790,20
33,Gradual,8587484646,22
33,Gradual,8050613734,25
33,Gradual,8587484646,22
33,Gradual,8587484390,21
33,Gradual,8587484406,21
33,Gradual,8587484404,23
33,Gradual,8553929972,23
33,Gradual,8553897204,25
33,Gradual,7480155380,26
33,Gradual,7480188148,24
33,Gradual,7480186100,24
33,Gradual,7345968372,23
33,Gradual,7345970420,23
33,Gradual,7345970676,23
33,Gradual,7337582068,23
33,Gradual,7471799796,23
33,Gradual,7471797748,22
33,Gradual,6934926836,23
33,Gradual,6918149620,27
33,Gradual,6918411764,26
33,Gradual,7455282676,24
33,Gradual,7455249908,24
33,Gradual,7455249910,24
33,Gradual,7455245814,22
33,Gradual,8528987638,22
33,Gradual,8528987574,21
33,Gradual,8528725430,23
33,Gradual,8528725438,23
33,Gradual,8528727486,26
33,Gradual,8528725438,23
33,Gradual,8562279870,24
33,Gradual,8570668478,20
33,Gradual,8570668479,19
33,Gradual,7496926655,21
33,Gradual,7496926653,22
33,Gradual,7496926717,22
33,Gradual,7496926701,22
33,Gradual,8570668525,20
33,Gradual,8570668493,22
33,Gradual,8570667469,20
33,Gradual,8570667471,21
33,Gradual,8570667487,20
33,Gradual,8566473183,22
33,Gradual,8566473175,22
33,Gradual,8558084567,22
33,Gradual,8557560279,22
33,Gradual,8559657431,23
33,Gradual,8568046039,22
33,Gradual,8568045783,22
33,Gradual,8500936919,23
33,Gradual,7427195095,25
33,Gradual,7427195079,24
33,Gradual,7418806471,26
33,Gradual,7418806343,25
33,Gradual,7416709191,25
33,Gradual,7416709207,26
33,Gradual,7416713303,24
33,Gradual,7416713302,25
33,Gradual,7416582230,24
33,Gradual,7416590422,25
33,Gradual,7416586326,23
33,Gradual,7416586334,23
33,Gradual,7416717406,25
33,Gradual,7425106014,23
33,Gradual,7425108062,22
33,Gradual,7425108046,23
33,Gradual,7290890318,24
33,Gradual,7290890316,24
33,Gradual,7282501708,24
33,Gradual,7281453132,25
33,Gradual,7282501708,24
33,Gradual,7349610572,22
33,Random,137363665,22
33,Random,7264491136,23
33,Random,6695497750,26
33,Random,8062832999,24
33,Random,1320804918,28
33,Random,3300456804,25
33,Random,2921819220,25
33,Random,4652284374,25
33,Random,526392669,23
33,Random,2224603482,25
33,Random,1983749217,25
33,Random,149526678,23
33,Random,8184479043,24
33,Random,6671216987,24
33,Random,4462607445,20
33,Random,1876273652,23
33,Random,4175014502,22
33,Random,1751532573,25
33,Random,7456529949,24
33,Random,2655401062,23
33,Random,5265775061,22
33,Random,5489027846,28
33,Random,3139433555,26
33,Random,4906727959,26
33,Random,3095928013,24
33,Random,6112698555,22
33,Random,452937209,24
33,Random,6689186016,25
33,Random,886567970,25
33,Random,7197125414,24
33,Random,3592651097,25
33,Random,7950899032,27
33,Random,5501876585,25
33,Random,2270341489,26
33,Random,6832206197,26
33,Random,4640144933,21
33,Random,7266145732,23
33,Random,3649324986,23
33,Random,7960946881,23
33,Random,8122227812,26
33,Random,5739162061,25
33,Random,5266162657,25
33,Random,2646427800,27
33,Random,3007050504,23
33,Random,5091681286,26
33,Random,4709289560,24
33,Random,6808337338,24
33,Random,8229708855,23
33,Random,1530642262,22
33,Random,2021140110,25
33,Random,7713596599,27
33,Random,7003774584,26
33,Random,4286134721,21
33,Random,3430365398,25
33,Random,6206334569,25
33,Random,883400748,26
33,Random,3098371625,26
33,Random,7319338836,23
33,Random,6224163379,25
33,Random,4802513388,25
33,Random,6306115886,25
33,Random,1311433915,27
33,Random,2045356196,22
33,Random,7059154164,22
33,Random,5001001436,21
33,Random,4641945245,25
33,Random,1107292151,19
33,Random,1897495578,27
33,Random,3445573874,25
33,Random,8077791776,26
33,Random,6325818216,27
33,Random,4164841766,22
33,Random,3082591963,21
33,Random,1732754966,28
33,Random,6256516185,26
33,Random,5142243338,22
33,Random,460597526,26
33,Random,3397567172,23
33,Random,337902122,22
33,Random,8319930189,23
33,Random,8264628506,24
33,Random,6401326822,22
33,Random,2273156854,24
33,Random,7418629344,27
33,Random,4854318022,26
33,Random,8105986463,23
33,Random,4509119327,22
33,Random,203956001,24
33,Random,6323869584,24
33,Random,7493669513,22
33,Random,4287971048,23
33,Random,7957732756,23
33,Random,3706328476,23
33,Random,1077148118,23
33,Random,3827053804,25
33,Random,2131923448,23
33,Random,4736974425,25
33,Random,3317464251,25
33,Random,2373135076,26
33,Random,663296567,24
34,Gradual,17179869183,11
34,Gradual,17179868159,14
34,Gradual,17179859967,15
34,Gradual,17179859963,16
34,Gradual,17179868155,14
34,Gradual,17179606011,14
34,Gradual,16105864187,17
34,Gradual,16105733115,20
34,Gradual,15568862203,20
34,Gradual,15568862139,19
34,Gradual,13421378491,19
34,Gradual,13152943035,19
34,Gradual,13152943039,20
34,Gradual,13153074111,19
34,Gradual,13153072063,20
34,Gradual,13153072055,21
34,Gradual,13153039287,22
34,Gradual,13153041335,21
34,Gradual,13153040823,22
34,Gradual,13153040821,24
34,Gradual,13136263605,26
34,Gradual,13136198069,25
34,Gradual,13069089205,25
34,Gradual,13066992053,23
34,Gradual,13066860981,24
34,Gradual,15214344629,25
34,Gradual,15205956021,27
34,Gradual,15205955893,27
34,Gradual,15205955877,26
34,Gradual,15204907301,25
34,Gradual,15204383013,26
34,Gradual,15070165285,25
34,Gradual,15070165797,25
34,Gradual,12922682149,22
34,Gradual,12922673957,22
34,Gradual,8627706661,21
34,Gradual,8761924389,21
34,Gradual,9835666213,21
34,Gradual,9835797285,21
34,Gradual,9835830053,21
34,Gradual,9852607269,22
34,Gradual,14147574565,22
34,Gradual,14147574629,22
34,Gradual,14147574625,22
34,Gradual,14147574633,22
34,Gradual,14684445545,21
34,Gradual,10389478249,23
34,Gradual,10389486441,26
